cpu_count = 16
cpu_user = 3555, cpu_system = 5389, cpu_nice = 106
cpu_idle = 6098247, cpu_iowait 23302, cpu_irq = 0
 cpu_softirq= 176, cpu_steal 0, cpu_guest = 0
pid = 1, utime = 12, stime = 90, cutime = 349, cstime = 233
pid = 2, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 3, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 4, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 6, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 9, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 10, utime = 3, stime = 0, cutime = 0, cstime = 0
pid = 11, utime = 34, stime = 0, cutime = 0, cstime = 0
pid = 12, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 13, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 14, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 15, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 16, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 17, utime = 12, stime = 0, cutime = 0, cstime = 0
pid = 18, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 20, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 21, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 22, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 23, utime = 13, stime = 0, cutime = 0, cstime = 0
pid = 24, utime = 0, stime = 2, cutime = 0, cstime = 0
pid = 26, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 27, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 28, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 29, utime = 13, stime = 0, cutime = 0, cstime = 0
pid = 30, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 32, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 33, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 34, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 35, utime = 13, stime = 0, cutime = 0, cstime = 0
pid = 36, utime = 0, stime = 2, cutime = 0, cstime = 0
pid = 38, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 39, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 40, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 41, utime = 0, stime = 13, cutime = 0, cstime = 0
pid = 42, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 44, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 45, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 46, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 47, utime = 13, stime = 0, cutime = 0, cstime = 0
pid = 48, utime = 2, stime = 0, cutime = 0, cstime = 0
pid = 50, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 51, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 52, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 53, utime = 0, stime = 13, cutime = 0, cstime = 0
pid = 54, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 56, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 57, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 58, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 59, utime = 14, stime = 0, cutime = 0, cstime = 0
pid = 60, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 61, utime = 0, stime = 1, cutime = 0, cstime = 0
pid = 62, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 63, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 64, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 65, utime = 14, stime = 0, cutime = 0, cstime = 0
